"Date","Code","Name","Open","High","Low","Close","Volume"
"2019-12-23","601319.ss","中国人保","7.61","7.62","7.27","7.27","101762995"
"2019-12-20","601319.ss","中国人保","7.63","7.75","7.6","7.61","85089918"
"2019-12-19","601319.ss","中国人保","7.59","7.71","7.55","7.61","76786280"
"2019-12-18","601319.ss","中国人保","7.59","7.84","7.53","7.62","138619966"
"2019-12-17","601319.ss","中国人保","7.15","7.9","7.13","7.64","211053069"
"2019-12-16","601319.ss","中国人保","7.1","7.2","7.0","7.18","117267108"
"2019-12-13","601319.ss","中国人保","6.81","7.17","6.81","7.1","162022484"
"2019-12-12","601319.ss","中国人保","6.81","6.82","6.76","6.77","26931218"
"2019-12-11","601319.ss","中国人保","6.77","6.87","6.74","6.81","55839869"
"2019-12-10","601319.ss","中国人保","6.76","6.78","6.72","6.75","31360965"
"2019-12-09","601319.ss","中国人保","6.82","6.84","6.76","6.78","37023773"
"2019-12-06","601319.ss","中国人保","6.76","6.82","6.73","6.79","54596752"
"2019-12-05","601319.ss","中国人保","6.65","6.77","6.63","6.75","65065858"
"2019-12-04","601319.ss","中国人保","6.64","6.71","6.6","6.63","57826653"
"2019-12-03","601319.ss","中国人保","6.59","6.68","6.55","6.68","48652308"
"2019-12-02","601319.ss","中国人保","6.6","6.68","6.58","6.61","55967731"
"2019-11-29","601319.ss","中国人保","6.61","6.62","6.55","6.59","47130159"
"2019-11-28","601319.ss","中国人保","6.72","6.76","6.57","6.6","72282872"
"2019-11-27","601319.ss","中国人保","6.77","6.79","6.72","6.74","41809279"
"2019-11-26","601319.ss","中国人保","6.84","6.85","6.76","6.76","51159782"
"2019-11-25","601319.ss","中国人保","6.79","6.88","6.73","6.83","57549561"
"2019-11-22","601319.ss","中国人保","6.86","6.91","6.76","6.79","82284534"
"2019-11-21","601319.ss","中国人保","6.94","6.95","6.82","6.87","65835896"
"2019-11-20","601319.ss","中国人保","7.0","7.07","6.92","6.94","126827379"
"2019-11-19","601319.ss","中国人保","6.95","7.17","6.74","7.17","223923433"
"2019-11-18","601319.ss","中国人保","7.88","7.88","7.16","7.16","194238576"
"2019-11-15","601319.ss","中国人保","8.06","8.07","7.95","7.95","20480424"
"2019-11-14","601319.ss","中国人保","8.11","8.13","8.04","8.08","17434886"
"2019-11-13","601319.ss","中国人保","8.26","8.26","7.94","8.11","30307265"
"2019-11-12","601319.ss","中国人保","8.38","8.41","8.24","8.3","21792287"
"2019-11-11","601319.ss","中国人保","8.52","8.55","8.39","8.41","21019885"
"2019-11-08","601319.ss","中国人保","8.66","8.7","8.55","8.55","21583464"
"2019-11-07","601319.ss","中国人保","8.67","8.67","8.56","8.62","19194448"
"2019-11-06","601319.ss","中国人保","8.81","8.83","8.61","8.66","25598665"
"2019-11-05","601319.ss","中国人保","8.68","8.89","8.65","8.81","45373032"
"2019-11-04","601319.ss","中国人保","8.63","8.73","8.63","8.67","22674107"
"2019-11-01","601319.ss","中国人保","8.5","8.68","8.5","8.65","17542254"
"2019-10-31","601319.ss","中国人保","8.67","8.69","8.5","8.55","18871737"
"2019-10-30","601319.ss","中国人保","8.58","8.78","8.58","8.66","29227006"
"2019-10-29","601319.ss","中国人保","8.71","8.72","8.6","8.6","16356130"
"2019-10-28","601319.ss","中国人保","8.61","8.72","8.58","8.7","23254115"
"2019-10-25","601319.ss","中国人保","8.63","8.63","8.45","8.6","25773322"
"2019-10-24","601319.ss","中国人保","8.64","8.71","8.59","8.63","15807376"
"2019-10-23","601319.ss","中国人保","8.7","8.75","8.62","8.64","20483055"
"2019-10-22","601319.ss","中国人保","8.84","8.85","8.66","8.76","26632742"
"2019-10-21","601319.ss","中国人保","8.79","8.95","8.61","8.85","26580376"
"2019-10-18","601319.ss","中国人保","9.02","9.08","8.75","8.78","37937800"
"2019-10-17","601319.ss","中国人保","9.0","9.13","8.93","9.04","30109406"
"2019-10-16","601319.ss","中国人保","8.94","9.27","8.93","9.04","60747070"
"2019-10-15","601319.ss","中国人保","9.01","9.05","8.87","8.9","26095710"
"2019-10-14","601319.ss","中国人保","8.88","9.2","8.79","9.04","59353546"
"2019-10-11","601319.ss","中国人保","8.72","8.86","8.61","8.79","32823004"
"2019-10-10","601319.ss","中国人保","8.68","8.72","8.63","8.72","16342627"
"2019-10-09","601319.ss","中国人保","8.61","8.74","8.53","8.68","16639716"
"2019-10-08","601319.ss","中国人保","8.62","8.77","8.62","8.66","20775845"
"2019-09-30","601319.ss","中国人保","8.7","8.74","8.6","8.6","16615600"
"2019-09-27","601319.ss","中国人保","8.69","8.73","8.61","8.69","19042104"
"2019-09-26","601319.ss","中国人保","8.82","8.9","8.67","8.7","30455901"
"2019-09-25","601319.ss","中国人保","8.96","8.97","8.78","8.8","37550783"
"2019-09-24","601319.ss","中国人保","9.03","9.07","8.96","9.0","21661029"
"2019-09-23","601319.ss","中国人保","9.08","9.09","8.98","9.04","30165455"
"2019-09-20","601319.ss","中国人保","9.11","9.23","9.07","9.15","32586478"
"2019-09-19","601319.ss","中国人保","9.01","9.16","8.96","9.14","33968208"
